StoreID,DayOfWeek,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment
62,Monday,9924,1428,Yes,Yes,None,Yes,Type D,Extra
47,Thursday,10940,1477,Yes,No,None,Yes,Type A,Basic
62,Saturday,4924,,Yes,,None,Yes,Type B,Basic
,Friday,10783,427,Yes,Yes,Christmas,Yes,Type A,Extra
55,Monday,5485,1226,Yes,No,Christmas,No,Type C,Extended
64,Monday,13629,162,Yes,Yes,None,Yes,Type D,Basic
3,Saturday,14233,786,Yes,Yes,None,,Type D,Basic
51,,13901,,Yes,Yes,None,Yes,Type A,Extended
7,Thursday,1191,1564,Yes,Yes,Public Holiday,Yes,Type A,Basic
21,Sunday,5917,1416,Yes,Yes,None,Yes,Type A,Basic
73,Wednesday,,837,Yes,Yes,None,No,Type D,Extra
39,Sunday,11160,,No,No,Public Holiday,Yes,Type B,Extended
18,,14682,738,Yes,No,Easter Holiday,No,Type D,Basic
4,Sunday,13391,1035,Yes,Yes,None,Yes,Type B,Basic
89,Saturday,2874,1215,Yes,No,None,Yes,Type C,Extended
60,Thursday,10062,1313,Yes,Yes,None,Yes,Type B,Extended
14,,5763,1994,,Yes,None,No,Type A,Extra
9,Sunday,11234,575,Yes,,,Yes,Type B,Extra
90,Monday,10221,1634,,Yes,None,No,Type B,Extra
53,Tuesday,12410,1585,Yes,No,None,Yes,Type D,
2,Friday,15519,152,Yes,Yes,None,Yes,Type A,Extended
84,Monday,,853,Yes,,None,Yes,Type C,Extra
92,Thursday,13225,585,,,Public Holiday,,Type B,Extended
60,Friday,10765,1767,Yes,Yes,None,Yes,,Basic
71,Tuesday,12382,1613,Yes,Yes,,No,Type A,Basic
44,Tuesday,,1487,Yes,Yes,Public Holiday,No,Type B,Extended
8,Wednesday,12989,1235,Yes,,None,Yes,Type D,Extended
47,Friday,12939,508,Yes,No,None,,,Extra
35,Wednesday,19489,1130,Yes,Yes,None,Yes,Type D,
78,Monday,,,Yes,Yes,,Yes,Type C,Extra
81,Saturday,4359,767,No,Yes,Easter Holiday,Yes,Type A,Extended
,Saturday,4176,1320,Yes,No,None,Yes,Type B,Extended
50,Saturday,2251,934,Yes,Yes,None,Yes,Type C,Extended
4,Friday,6366,975,Yes,No,None,Yes,Type D,Basic
2,Saturday,18901,1858,Yes,No,None,,Type C,Basic
6,Monday,7226,466,Yes,No,None,No,Type C,Basic
54,Wednesday,15330,1101,Yes,No,None,Yes,Type C,Extra
4,Friday,5891,349,Yes,No,None,No,Type C,Extra
54,Wednesday,5992,,Yes,Yes,None,,,Basic
93,Friday,2961,1363,Yes,No,Easter Holiday,Yes,Type C,Basic
63,Wednesday,13497,479,,Yes,None,Yes,Type D,Extended
18,Tuesday,11848,971,Yes,No,None,Yes,,Extended
90,Wednesday,14255,,Yes,Yes,,No,Type C,Extra
44,Saturday,5567,1594,,Yes,None,No,Type C,Extra
34,Tuesday,17079,874,Yes,Yes,None,Yes,Type B,Extended
74,Wednesday,7513,1018,Yes,Yes,None,Yes,Type A,Extra
62,Friday,16235,1824,Yes,Yes,,Yes,Type A,Basic
,Friday,12755,554,Yes,Yes,,Yes,Type A,Extended
95,Friday,12151,465,Yes,No,None,Yes,Type D,Extended
48,Thursday,17567,1413,,Yes,None,Yes,Type D,Extra
15,Monday,,1997,No,,None,No,Type D,Extended
72,Friday,10590,,,No,None,No,Type C,
78,Tuesday,11988,157,Yes,,None,Yes,Type A,Basic
87,Friday,8678,,,Yes,None,Yes,,Extended
62,Thursday,6698,1427,Yes,Yes,None,No,Type B,Extended
40,Saturday,2273,1238,Yes,No,None,,Type A,Extended
85,Tuesday,12241,309,Yes,Yes,Easter Holiday,Yes,Type B,Extended
80,Thursday,18480,1164,Yes,Yes,None,Yes,Type B,Basic
82,Saturday,10497,,Yes,Yes,None,Yes,Type C,Extended
,Sunday,10107,272,No,Yes,None,Yes,Type A,Basic
24,Sunday,12273,333,Yes,Yes,None,Yes,Type B,Basic
,Tuesday,9002,892,Yes,No,None,No,Type A,
89,,5247,1713,Yes,No,None,Yes,Type B,Extra
60,Monday,10220,1743,Yes,Yes,None,Yes,Type B,Extra
41,Monday,11703,892,Yes,,None,Yes,Type C,Extended
29,Thursday,16472,1526,Yes,No,None,Yes,Type A,Basic
,Saturday,17654,1162,Yes,Yes,None,,Type C,
45,Monday,18570,218,Yes,Yes,None,Yes,Type C,
65,Saturday,13392,434,Yes,Yes,None,,Type C,Extra
,Saturday,12956,1459,Yes,Yes,,No,Type C,Basic
,Thursday,16641,1662,Yes,No,None,Yes,Type C,Extended
9,Thursday,14998,1739,Yes,Yes,None,No,,Basic
88,Thursday,7305,1197,Yes,Yes,None,,Type A,Basic
1,Monday,19782,1314,Yes,Yes,None,Yes,Type A,Extra
8,,13721,423,,No,None,No,Type C,Extended
88,Thursday,7995,1110,Yes,Yes,None,Yes,Type A,Extended
63,Monday,,1270,Yes,Yes,None,Yes,,Extended
11,Thursday,14782,,Yes,Yes,None,Yes,Type C,Extra
,Friday,,383,Yes,Yes,None,Yes,Type D,Extended
8,Saturday,7511,,Yes,Yes,None,No,Type D,Extra
35,Thursday,17512,,Yes,Yes,,Yes,Type B,Extended
35,Tuesday,10461,1841,Yes,Yes,Easter Holiday,Yes,Type B,Extra
33,Saturday,,,,Yes,None,Yes,Type D,Extended
5,,14272,851,Yes,No,None,Yes,Type C,Extra
41,Thursday,6552,1517,No,Yes,None,No,Type B,Basic
28,Sunday,,438,Yes,Yes,None,,Type D,Basic
7,Wednesday,12989,1921,Yes,Yes,None,No,Type C,Basic
73,Sunday,14780,1145,,Yes,None,Yes,Type B,Extended
72,,7589,1894,,,Christmas,Yes,,Extra
12,Saturday,3044,1992,Yes,No,None,No,Type A,Basic
34,Tuesday,,204,Yes,No,None,Yes,,Extended
33,Saturday,19725,1589,Yes,Yes,None,Yes,Type C,Extra
,Sunday,6884,1582,Yes,Yes,None,Yes,Type B,Basic
23,Tuesday,9185,1555,Yes,Yes,None,Yes,Type D,Basic
62,Monday,1249,869,Yes,Yes,None,Yes,Type B,Extended
,Friday,18358,815,No,Yes,None,Yes,,Extra
37,Saturday,10175,1945,Yes,Yes,None,Yes,Type A,Extended
99,Thursday,17260,,,No,Easter Holiday,Yes,Type C,Basic
44,Monday,,1742,Yes,Yes,None,Yes,Type D,Extended
86,Friday,8279,,Yes,,None,Yes,Type C,Extended
91,Thursday,9662,1344,No,No,None,Yes,Type D,Basic
,Wednesday,2987,478,Yes,Yes,Easter Holiday,Yes,Type B,Basic
65,Thursday,17474,1345,Yes,Yes,None,Yes,Type C,Extra
99,Tuesday,,1381,Yes,Yes,None,No,Type C,Extra
,Tuesday,14026,812,Yes,Yes,,Yes,Type C,Basic
78,,3773,1490,Yes,No,None,No,Type A,Basic
3,Monday,14159,1893,,No,None,Yes,Type A,Extra
1,Friday,,1472,No,No,,,Type D,
5,Thursday,11178,324,No,No,None,,Type B,Basic
90,Tuesday,11377,1837,No,Yes,Christmas,No,Type C,Basic
,Monday,8347,,Yes,No,None,Yes,Type A,Extended
27,Wednesday,2008,335,Yes,No,None,No,Type C,Extra
9,Sunday,4783,282,Yes,Yes,,Yes,Type D,Extra
79,Saturday,,811,Yes,Yes,None,Yes,Type D,Extended
15,Sunday,5668,1992,Yes,Yes,None,No,Type B,Basic
90,Sunday,3052,1881,Yes,Yes,None,Yes,Type D,Extended
,Tuesday,2716,543,Yes,Yes,None,Yes,Type C,Basic
77,Wednesday,1310,1988,Yes,No,None,Yes,Type B,Extra
,Thursday,15391,722,No,No,Easter Holiday,No,Type B,
63,Sunday,2260,1129,Yes,Yes,None,Yes,Type A,Basic
96,Sunday,14157,1359,No,,None,Yes,Type C,Basic
52,Friday,12460,1250,Yes,No,None,Yes,Type D,Basic
96,Tuesday,17968,1227,,,None,,Type A,
4,Tuesday,15011,848,Yes,Yes,None,Yes,Type C,Extra
94,,3866,1603,Yes,No,None,Yes,Type C,Extended
23,Saturday,15365,254,,,Christmas,Yes,Type B,Extra
15,,6898,356,Yes,No,None,Yes,Type B,Basic
43,Friday,19395,,Yes,Yes,None,Yes,Type C,Extended
,Tuesday,7251,599,Yes,Yes,None,Yes,Type A,Basic
36,,5939,388,Yes,No,None,,Type B,Extra
13,Tuesday,5006,609,Yes,Yes,None,Yes,Type B,Extra
32,,2625,1675,,No,None,Yes,Type C,Basic
71,Wednesday,,1923,Yes,Yes,None,No,Type C,Basic
,Sunday,18274,808,Yes,Yes,Easter Holiday,Yes,Type B,Extended
86,Tuesday,7078,884,Yes,Yes,None,Yes,Type A,Extended
28,Friday,9923,993,Yes,Yes,None,Yes,,Basic
66,Monday,4961,,Yes,No,None,Yes,Type C,Extended
42,Wednesday,19888,1692,No,Yes,None,Yes,Type B,Basic
45,Wednesday,9806,397,Yes,No,None,,Type C,Basic
62,Monday,19103,1733,Yes,No,None,Yes,,Basic
57,Friday,,236,Yes,Yes,None,Yes,Type C,
6,Thursday,7686,,Yes,No,None,Yes,,Basic
28,Monday,2587,186,Yes,Yes,None,No,Type A,Basic
28,Friday,10803,1542,Yes,No,None,Yes,Type C,Basic
44,Monday,18280,1877,Yes,Yes,None,Yes,,Extended
84,Monday,11350,1322,,Yes,Public Holiday,Yes,Type C,Basic
30,Tuesday,19816,1586,Yes,Yes,None,Yes,Type D,Extra
62,Friday,12454,536,Yes,Yes,None,No,Type B,Extra
75,Thursday,16849,1433,Yes,No,None,Yes,Type A,Basic
92,Sunday,7837,1719,Yes,Yes,Public Holiday,Yes,,Basic
89,Tuesday,2449,1877,Yes,Yes,None,Yes,Type A,Basic
62,Monday,6454,1404,Yes,Yes,None,Yes,Type D,Extra
,Sunday,10424,1446,Yes,No,None,Yes,Type A,Extended
1,Saturday,5117,863,Yes,Yes,None,,Type C,Extended
27,Sunday,9869,801,No,Yes,None,,Type D,Basic
,Monday,,1041,Yes,Yes,None,Yes,Type D,Extended
77,Monday,19412,251,Yes,Yes,None,Yes,Type A,Extra
3,Friday,,1425,No,No,None,No,Type B,Basic
70,Friday,7845,1401,Yes,No,None,Yes,Type A,Extended
72,Tuesday,5624,1774,Yes,No,None,No,Type A,
27,Thursday,9848,1811,Yes,Yes,,Yes,Type D,
9,,17549,1131,Yes,No,,Yes,Type C,Extra
62,Wednesday,14136,,Yes,Yes,Easter Holiday,Yes,,Extra
37,Monday,1589,334,Yes,No,None,Yes,Type A,Extended
97,Sunday,,774,Yes,,None,Yes,Type C,
,Saturday,8693,660,No,Yes,None,Yes,Type C,Basic
44,,10454,1425,Yes,,,Yes,Type B,Extra
24,Monday,17455,137,Yes,Yes,None,Yes,Type C,Extended
79,,12708,1259,Yes,Yes,None,Yes,Type A,Extended
59,Saturday,13942,921,Yes,No,Christmas,Yes,Type D,Extended
,Saturday,17652,520,Yes,Yes,None,No,Type C,Extra
96,Saturday,10968,1342,,No,None,Yes,Type D,Extra
88,Tuesday,3462,447,,Yes,Christmas,No,,Extra
52,Monday,10460,1931,Yes,Yes,,Yes,Type B,Extra
,Tuesday,2015,1669,Yes,No,None,Yes,Type C,Extra
58,Friday,,1987,Yes,Yes,None,No,Type D,Extended
52,Friday,14269,1202,Yes,Yes,,Yes,Type A,Extended
12,Tuesday,1406,847,Yes,No,None,Yes,Type D,
39,Saturday,8384,372,,Yes,None,Yes,Type C,Basic
2,Monday,,1284,Yes,Yes,None,Yes,Type D,Extended
3,Tuesday,18369,1810,Yes,No,Christmas,Yes,Type D,Basic
56,Tuesday,12795,407,Yes,,None,No,Type B,Basic
81,Tuesday,5485,1497,Yes,No,None,Yes,Type C,Extended
59,Wednesday,9901,1075,Yes,Yes,None,Yes,Type D,Basic
2,Friday,3618,832,Yes,,,Yes,Type C,Basic
2,Sunday,10603,1132,Yes,Yes,None,Yes,Type A,Extended
92,Saturday,7928,1924,,No,None,,Type C,Extended
54,,6368,543,Yes,Yes,None,,Type A,Extra
87,Sunday,5621,,Yes,No,None,Yes,Type C,Extended
96,Saturday,15719,1328,Yes,Yes,None,No,Type C,Basic
97,Thursday,12126,504,Yes,Yes,None,Yes,Type D,Extended
1,,8566,1821,,No,None,Yes,Type D,
,Tuesday,13306,952,Yes,Yes,None,Yes,Type A,Extended
2,Wednesday,16086,1320,Yes,Yes,None,No,Type A,Basic
53,Wednesday,18387,877,Yes,Yes,None,Yes,Type B,Extended
44,Sunday,19850,1897,,Yes,None,No,Type D,Basic
90,Monday,19323,1883,Yes,Yes,,Yes,Type A,Extended
32,Sunday,19019,214,Yes,Yes,None,Yes,Type D,Extra
70,,10890,1244,Yes,Yes,None,Yes,Type C,Extra
32,Thursday,9095,,Yes,Yes,Easter Holiday,Yes,Type B,Extended
68,Tuesday,13719,164,Yes,Yes,None,,Type D,Basic
55,Sunday,11283,1399,Yes,Yes,None,No,Type D,Extra
75,Thursday,19279,924,Yes,No,None,Yes,Type D,
56,Saturday,15231,338,Yes,No,None,,Type D,Extended
17,Thursday,15698,401,No,Yes,None,Yes,Type A,Extra
38,Saturday,18457,1515,Yes,,Public Holiday,Yes,Type A,Extra
24,Sunday,6184,1645,Yes,No,Public Holiday,Yes,Type B,Basic
69,Friday,,1068,Yes,Yes,None,Yes,Type C,Extra
98,Sunday,5895,468,Yes,Yes,Easter Holiday,Yes,Type C,Basic
70,Saturday,12404,332,Yes,Yes,None,Yes,Type B,Basic
86,Thursday,16161,294,Yes,No,None,Yes,Type C,Extended
11,Thursday,10343,1006,Yes,Yes,None,,Type A,Basic
16,Saturday,11637,1135,Yes,No,None,Yes,Type D,
97,Wednesday,2956,1020,Yes,No,None,Yes,Type C,Basic
73,Friday,8023,788,Yes,Yes,None,No,,
59,,15062,276,No,No,None,Yes,Type D,
,Tuesday,15333,316,Yes,Yes,None,Yes,,Extended
80,Thursday,4907,,Yes,Yes,None,Yes,Type D,Extended
93,Tuesday,1807,1569,Yes,Yes,None,Yes,Type C,
3,Monday,15031,729,Yes,Yes,None,Yes,,Basic
20,Sunday,,263,Yes,Yes,None,No,Type B,Basic
59,Tuesday,14699,1674,Yes,Yes,None,Yes,Type A,Extended
36,Monday,5524,152,Yes,Yes,Public Holiday,Yes,Type C,Basic
19,Saturday,16193,317,Yes,Yes,None,Yes,Type A,Basic
90,Wednesday,17223,1841,Yes,Yes,Easter Holiday,Yes,,Extra
67,Thursday,19668,1098,Yes,No,None,Yes,Type C,Extended
19,Monday,6313,923,No,Yes,None,No,Type A,Extended
20,Tuesday,14598,1483,Yes,Yes,Easter Holiday,Yes,Type C,Basic
96,Thursday,14058,484,Yes,Yes,None,Yes,Type B,Basic
71,Wednesday,18141,155,Yes,,None,No,Type C,Extra
52,,5887,217,Yes,,,Yes,Type B,Basic
33,Sunday,4854,999,Yes,Yes,None,,Type B,Extended
,Thursday,13458,1376,Yes,Yes,None,Yes,Type C,Extra
39,Sunday,15536,897,Yes,Yes,None,Yes,Type D,Extended
82,,4558,879,Yes,No,Easter Holiday,Yes,Type B,Basic
1,Wednesday,10772,1115,,No,None,No,Type B,Extra
,,18345,,Yes,Yes,None,No,,
,Wednesday,,944,Yes,No,Public Holiday,Yes,Type B,Extended
,Wednesday,3418,1303,Yes,Yes,None,Yes,Type B,Extended
,,5198,,Yes,,None,No,Type B,Basic
50,Wednesday,2001,1993,Yes,No,None,Yes,,Basic
23,,8119,1358,No,Yes,None,Yes,Type D,Basic
31,Thursday,10673,954,No,Yes,None,Yes,Type B,Basic
94,Tuesday,6316,807,Yes,Yes,None,Yes,,Extended
,Thursday,,1943,Yes,,None,No,Type D,Extra
99,Thursday,17806,1203,Yes,Yes,Christmas,Yes,Type B,Basic
7,Monday,12873,1770,Yes,Yes,None,Yes,Type C,Extra
16,Thursday,5266,121,Yes,Yes,None,Yes,Type C,Extended
90,Friday,8549,,Yes,Yes,None,Yes,Type D,Basic
60,Friday,,,Yes,No,None,Yes,Type D,
2,Sunday,,1563,Yes,Yes,None,Yes,,Basic
,,19925,1860,Yes,No,None,,Type D,Basic
,Sunday,7763,1693,Yes,Yes,None,Yes,Type D,Extra
12,Sunday,,1216,Yes,No,Public Holiday,No,Type A,Extended
69,Saturday,19437,291,Yes,No,None,Yes,,Extended
37,Tuesday,9479,1118,Yes,Yes,None,Yes,Type A,Extended
32,Tuesday,6737,1226,Yes,Yes,None,Yes,Type D,Extra
9,Thursday,18831,495,Yes,,None,No,Type D,
99,Thursday,7009,1130,No,No,None,Yes,Type C,Extended
19,Saturday,17991,739,Yes,Yes,,Yes,Type A,Extended
48,Thursday,5552,,Yes,Yes,Christmas,Yes,Type D,Basic
80,Tuesday,19148,666,Yes,Yes,None,Yes,Type B,
3,,10417,330,Yes,No,None,Yes,Type D,Extra
20,Wednesday,10221,973,Yes,,None,Yes,Type C,Basic
24,Friday,3671,673,Yes,,Public Holiday,Yes,Type C,Extended
54,Wednesday,7519,339,Yes,Yes,None,Yes,Type C,Extended
33,Wednesday,4962,189,No,No,None,Yes,Type A,Basic
,Tuesday,13734,331,No,Yes,None,Yes,Type A,Basic
75,Wednesday,14122,556,No,Yes,None,Yes,Type A,
72,Saturday,4722,332,Yes,Yes,None,Yes,Type B,Basic
36,Monday,,453,Yes,Yes,None,,Type A,Extra
,Thursday,8263,,Yes,No,None,Yes,Type C,Basic
84,Monday,14699,,,Yes,None,Yes,Type A,Basic
99,Sunday,12088,538,Yes,,None,Yes,,
89,Friday,1808,1498,Yes,No,None,,Type D,Basic
99,Thursday,,1415,Yes,No,None,,Type A,Extended
25,Wednesday,17260,444,Yes,Yes,Easter Holiday,Yes,Type D,Extended
93,Friday,18109,763,Yes,Yes,None,Yes,Type A,Extended
18,Thursday,11693,1551,,No,,,Type D,Basic
82,Saturday,8701,756,Yes,,None,Yes,Type C,Extra
66,Saturday,,229,Yes,No,None,Yes,Type A,Basic
54,Saturday,19581,240,Yes,No,None,Yes,Type C,Extended
35,Saturday,15191,514,Yes,Yes,None,Yes,Type A,Extra
80,Wednesday,18356,1216,No,No,None,Yes,Type B,Extra
61,Monday,14704,725,Yes,Yes,None,Yes,Type B,Extended
41,,3123,383,No,Yes,None,No,,Basic
33,Wednesday,12533,1778,Yes,Yes,None,Yes,Type C,Extra
68,Saturday,17608,322,Yes,No,Christmas,Yes,Type B,Extra
33,Sunday,15448,843,Yes,Yes,None,Yes,Type B,Extended
,Monday,,562,Yes,Yes,,Yes,,Extra
21,Sunday,2814,1668,Yes,No,None,Yes,Type A,Extra
48,Friday,14001,1399,Yes,Yes,None,Yes,Type B,Extra
20,Sunday,18490,1805,Yes,Yes,None,No,Type C,Basic
,Friday,17508,,Yes,No,None,,Type C,Basic
7,,14380,456,Yes,No,,Yes,Type B,Extended
67,Saturday,16406,1836,Yes,No,None,Yes,Type C,Basic
17,Friday,,1146,Yes,,None,Yes,Type A,Extra
33,Tuesday,14567,1859,Yes,Yes,None,No,Type D,Basic
48,Thursday,15038,1393,Yes,Yes,None,Yes,Type A,Extra
76,Thursday,13317,958,Yes,Yes,None,Yes,Type D,Extra
59,Saturday,3971,764,,,None,Yes,Type D,Basic
86,Tuesday,3017,1456,Yes,Yes,None,Yes,Type B,Basic
22,Sunday,3415,1114,Yes,No,Easter Holiday,,Type C,Basic
30,Wednesday,2609,184,Yes,Yes,None,No,Type D,Basic
38,Sunday,1717,,Yes,Yes,None,Yes,Type B,Extended
51,Wednesday,13662,1154,Yes,Yes,None,Yes,Type C,Basic
54,Friday,7782,,Yes,Yes,None,No,Type C,Extended
8,Monday,,339,Yes,Yes,None,Yes,Type D,Extra
27,Wednesday,12618,462,,,None,Yes,Type C,Extended
27,Monday,9307,921,Yes,Yes,None,,Type A,Extra
98,Thursday,8905,1512,Yes,,,Yes,Type C,Extended
21,,10993,,Yes,No,None,Yes,Type A,Extended
30,Thursday,11338,767,Yes,No,Easter Holiday,No,Type C,Extra
97,Tuesday,6578,1422,Yes,,None,Yes,Type D,Extended
28,Tuesday,,1980,Yes,No,None,Yes,Type D,Extra
,Saturday,19004,1494,Yes,Yes,,Yes,Type B,Basic
,Saturday,7548,198,Yes,Yes,None,Yes,Type A,Extra
69,Friday,8381,,Yes,Yes,None,Yes,Type A,Extended
,Wednesday,3941,938,Yes,Yes,Public Holiday,Yes,Type D,Basic
48,Friday,6695,521,Yes,No,Public Holiday,,Type D,Extended
19,Thursday,7401,1603,Yes,Yes,None,Yes,Type D,Basic
4,Friday,16179,1702,Yes,No,None,Yes,Type A,Extra
,Monday,15456,161,Yes,Yes,None,Yes,Type B,Basic
64,Thursday,,1232,Yes,Yes,None,Yes,Type A,Basic
49,Saturday,7197,1802,,No,None,Yes,Type D,Basic
17,Tuesday,6450,,Yes,Yes,None,No,Type B,Extended
44,,,,No,Yes,Easter Holiday,Yes,Type C,Basic
92,Wednesday,18396,1109,Yes,Yes,None,Yes,Type C,Extra
30,Thursday,9378,697,Yes,Yes,Easter Holiday,Yes,Type D,
93,Thursday,2881,1505,Yes,Yes,None,Yes,,
46,Monday,7799,491,Yes,Yes,,,Type D,Basic
6,Wednesday,15597,1076,No,Yes,None,Yes,Type A,Extra
99,Tuesday,14675,1175,Yes,,,Yes,Type A,
37,Sunday,5586,702,Yes,Yes,Public Holiday,Yes,Type B,Extra
24,,,1412,Yes,Yes,Easter Holiday,No,Type D,Basic
93,Thursday,3345,436,Yes,Yes,None,Yes,Type D,Extra
46,Monday,,909,Yes,Yes,Christmas,Yes,Type C,Basic
53,,10548,1327,No,,None,,Type B,Basic
95,Tuesday,6877,1361,No,Yes,None,No,Type D,Extra
99,Saturday,7785,1505,Yes,Yes,None,Yes,Type A,Extended
60,Wednesday,16833,1790,Yes,Yes,Public Holiday,,Type D,Extended
97,,5922,851,Yes,Yes,,Yes,Type D,Extra
63,Thursday,19714,1259,Yes,,,Yes,Type A,Basic
85,Saturday,5686,1530,Yes,Yes,None,Yes,Type A,Extra
32,Tuesday,15407,1631,,Yes,Christmas,Yes,Type D,Basic
87,Friday,19286,1485,Yes,,,Yes,Type A,Basic
33,Thursday,13205,,Yes,Yes,None,Yes,Type C,Basic
67,Tuesday,,980,No,Yes,None,,Type C,Extended
18,Saturday,19443,1699,Yes,,None,Yes,Type C,Extended
25,Monday,17524,,Yes,Yes,,Yes,Type A,Extra
95,Friday,19173,353,Yes,No,Easter Holiday,Yes,Type A,Extended
54,Wednesday,,1600,Yes,Yes,Easter Holiday,Yes,Type A,Basic
58,Thursday,14374,1237,Yes,No,None,Yes,Type B,Basic
67,Tuesday,,119,Yes,No,None,Yes,Type A,
46,Monday,19211,627,Yes,Yes,None,Yes,Type C,
24,Wednesday,,1268,,Yes,None,Yes,Type C,Extra
32,Sunday,17473,1331,Yes,Yes,None,Yes,Type C,Extra
47,Tuesday,5815,1654,Yes,Yes,None,Yes,Type B,Basic
86,Tuesday,,475,Yes,Yes,None,Yes,Type D,Extended
23,Wednesday,16972,1627,Yes,,None,Yes,Type C,
66,Monday,18353,265,Yes,No,None,,Type B,Basic
27,Sunday,2094,,Yes,,None,,Type D,Extra
2,Saturday,7124,1304,,Yes,None,No,Type B,Extended
90,Monday,2404,960,Yes,Yes,None,Yes,,Extra
17,Friday,4982,716,No,No,None,Yes,Type D,Basic
33,Thursday,13515,711,Yes,,Christmas,Yes,Type A,Extra
9,Wednesday,16790,,Yes,No,None,Yes,Type A,Extra
,,,,Yes,Yes,None,No,Type C,Basic
48,Sunday,13748,1567,Yes,Yes,None,Yes,Type D,Extra
39,Wednesday,4092,1455,No,Yes,None,,Type C,Basic
93,Wednesday,14971,602,Yes,Yes,None,No,Type B,Extra
42,Monday,15616,1012,Yes,No,None,Yes,Type A,Extended
26,Thursday,5933,178,Yes,No,None,Yes,Type C,Basic
99,Friday,5926,684,No,Yes,Christmas,Yes,Type C,
50,Tuesday,4969,787,No,Yes,None,Yes,Type A,Extra
25,Tuesday,3965,495,,Yes,Easter Holiday,Yes,,Extended
24,Wednesday,5319,,Yes,No,Easter Holiday,,Type C,Extended
13,,9975,1980,Yes,Yes,None,Yes,Type C,Extended
60,Sunday,8108,1226,Yes,Yes,None,Yes,Type D,Extra
7,Sunday,10141,501,Yes,Yes,None,No,Type D,Basic
57,Saturday,,1074,No,Yes,None,Yes,Type A,Extra
36,Monday,2810,323,Yes,No,Easter Holiday,Yes,Type A,
45,Thursday,11273,617,No,Yes,None,,,Extra
20,Thursday,10021,733,,Yes,None,Yes,Type B,Basic
65,Monday,19293,335,Yes,Yes,Public Holiday,Yes,Type C,Extra
8,,,1550,Yes,Yes,Christmas,No,Type D,
16,Sunday,3581,215,Yes,,None,Yes,Type B,Basic
14,Sunday,1691,1286,Yes,Yes,Easter Holiday,Yes,Type C,Basic
76,Wednesday,1931,325,Yes,Yes,None,Yes,,Basic
87,Thursday,14128,329,No,No,None,No,Type A,Extended
15,Tuesday,15226,281,Yes,Yes,None,Yes,Type D,Basic
92,Monday,14861,1372,Yes,Yes,None,No,Type C,Extended
98,,16475,1441,Yes,Yes,None,Yes,Type A,Extended
66,Saturday,4406,309,Yes,Yes,None,No,Type C,Extra
32,Sunday,9339,1779,Yes,Yes,,No,Type D,Extended
87,Sunday,18416,1515,Yes,No,None,Yes,Type C,Extra
63,Friday,,,Yes,Yes,None,Yes,Type C,Extended
86,Wednesday,9579,195,Yes,Yes,None,Yes,Type B,Basic
51,Monday,4121,993,Yes,Yes,None,Yes,Type B,Extra
